"구분(1)",구분(2),구분(3),구분(4),2020
"세종",음식물류 폐기물 분리배출,소계,소계,15681.7
"경기",합계,소계,소계,3901516.4
"경기",종량제방식 등 혼합배출,소계,소계,1888535.9
"경기",종량제방식 등 혼합배출,가연성,소계,1677446.7
"경기",종량제방식 등 혼합배출,가연성,폐지류,415479.2
"경기",종량제방식 등 혼합배출,가연성,폐합성수지류,421970.4
"경기",종량제방식 등 혼합배출,가연성,폐고무류,43867.9
"경기",종량제방식 등 혼합배출,가연성,폐섬유류,129391.6
"경기",종량제방식 등 혼합배출,가연성,음식물류 폐기물,142527.4
"경기",종량제방식 등 혼합배출,가연성,폐목재류,137265.6
"경기",종량제방식 등 혼합배출,가연성,기타,386944.6
"경기",종량제방식 등 혼합배출,불연성,소계,180686.4
"경기",종량제방식 등 혼합배출,불연성,폐금속류,35741.4
"경기",종량제방식 등 혼합배출,불연성,폐유리류,47943.6
"경기",종량제방식 등 혼합배출,불연성,폐토사류,18145.7
"경기",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,5787.8
"경기",종량제방식 등 혼합배출,불연성,연탄재,9942.0
"경기",종량제방식 등 혼합배출,불연성,기타,63125.9
"경기",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),18186.3
"경기",종량제방식 등 혼합배출,기타(배출불명등),소계,12216.5
"경기",재활용 가능자원 분리배출,소계,소계,861287.4
"경기",재활용 가능자원 분리배출,폐지류,종이팩,9968.2
"경기",재활용 가능자원 분리배출,폐지류,기타,201047.6
"경기",재활용 가능자원 분리배출,고철류,소계,13949.5
"경기",재활용 가능자원 분리배출,금속캔,소계,11151.1
"경기",재활용 가능자원 분리배출,폐합성수지류,비닐류,92924.8
"경기",재활용 가능자원 분리배출,폐합성수지류,발포수지류,16068.1
"경기",재활용 가능자원 분리배출,폐합성수지류,PET병,43791.8
"경기",재활용 가능자원 분리배출,폐합성수지류,기타,99623.9
"경기",재활용 가능자원 분리배출,폐고무류,소계,67.1
"경기",재활용 가능자원 분리배출,폐유리병류,소계,50447.0
"경기",재활용 가능자원 분리배출,폐의류,소계,6383.7
"경기",재활용 가능자원 분리배출,폐섬유류,소계,7982.6
"경기",재활용 가능자원 분리배출,폐형광등,소계,2642.4
"경기",재활용 가능자원 분리배출,폐전지류,소계,39484.5
"경기",재활용 가능자원 분리배출,영농폐기물,농약용기류,100.5
"경기",재활용 가능자원 분리배출,영농폐기물,폐비닐,19381.3
"경기",재활용 가능자원 분리배출,폐식용유,소계,0.0
"경기",재활용 가능자원 분리배출,폐전기전자제품,소계,14769.8
"경기",재활용 가능자원 분리배출,폐가구류,소계,87964.5
"경기",재활용 가능자원 분리배출,기타,소계,24446.6
"경기",재활용 가능자원 분리배출,재활용 잔재물,소계,119092.4
"경기",음식물류 폐기물 분리배출,소계,소계,1151693.1
"강원",합계,소계,소계,667683.5
"강원",종량제방식 등 혼합배출,소계,소계,369686.5
"강원",종량제방식 등 혼합배출,가연성,소계,276475.2
